timestamp,power_kW
2026-06-01 00:00:00,0.083
2026-06-01 00:15:00,0.0937
2026-06-01 00:30:00,0.1444
2026-06-01 00:45:00,0.1272
2026-06-01 01:00:00,0.131
2026-06-01 01:15:00,0.09
2026-06-01 01:30:00,0.0873
2026-06-01 01:45:00,0.0891
2026-06-01 02:00:00,0.1337
2026-06-01 02:15:00,0.144
2026-06-01 02:30:00,0.1434
2026-06-01 02:45:00,0.0896
2026-06-01 03:00:00,0.0959
2026-06-01 03:15:00,0.092
2026-06-01 03:30:00,0.1337
2026-06-01 03:45:00,0.1411
2026-06-01 04:00:00,0.1336
2026-06-01 04:15:00,0.0961
2026-06-01 04:30:00,0.0937
2026-06-01 04:45:00,0.1007
2026-06-01 05:00:00,0.1648
2026-06-01 05:15:00,0.2111
2026-06-01 05:30:00,0.2655
2026-06-01 05:45:00,0.3139
2026-06-01 06:00:00,0.4539
2026-06-01 06:15:00,0.6295
2026-06-01 06:30:00,0.8542
2026-06-01 06:45:00,1.0002
2026-06-01 07:00:00,1.0797
2026-06-01 07:15:00,1.0315
2026-06-01 07:30:00,0.9221
2026-06-01 07:45:00,0.7669
2026-06-01 08:00:00,0.637
2026-06-01 08:15:00,0.4797
2026-06-01 08:30:00,0.3505
2026-06-01 08:45:00,0.2016
2026-06-01 09:00:00,0.1408
2026-06-01 09:15:00,0.1099
2026-06-01 09:30:00,0.1532
2026-06-01 09:45:00,0.1471
2026-06-01 10:00:00,0.1433
2026-06-01 10:15:00,0.0857
2026-06-01 10:30:00,0.0907
2026-06-01 10:45:00,0.0899
2026-06-01 11:00:00,0.1401
2026-06-01 11:15:00,0.1439
2026-06-01 11:30:00,0.1401
2026-06-01 11:45:00,0.0932
2026-06-01 12:00:00,0.0896
2026-06-01 12:15:00,0.0909
2026-06-01 12:30:00,0.1425
2026-06-01 12:45:00,0.1301
2026-06-01 13:00:00,0.1369
2026-06-01 13:15:00,0.0865
2026-06-01 13:30:00,0.0856
2026-06-01 13:45:00,0.088
2026-06-01 14:00:00,0.1486
2026-06-01 14:15:00,0.1353
2026-06-01 14:30:00,0.1476
2026-06-01 14:45:00,0.0846
